customer_id,name,date_of_birth,ssn_last_4,address,phone,customer_since,risk_rating,occupation,annual_income
CUST_0001,Allison Hill,1958-08-25,2679,"600 Jeffery Parkways, New Jamesside, MT 29394",394.802.6542x351,2016-06-14,Low,Local government officer,48815
CUST_0002,Renee Blair,1978-05-14,7201,"959 Janet Cape Apt. 413, South Joshuastad, GA 49021",(534)719-2832x764,2023-03-03,Low,Banker,72005
CUST_0003,Andrew Stewart,1961-06-14,4456,"PSC 9537, Box 6724, APO AE 32826",001-388-249-6965x3287,2023-05-02,Low,"Designer, ceramics/pottery",48664
CUST_0004,Rebecca Henderson,1948-08-02,7252,"480 Erin Plain Suite 514, Mooretown, VA 94830",282-781-4893x252,2019-12-25,Low,Clinical research associate,54285
CUST_0005,Sherry Decker,1963-12-16,1949,"71822 Arroyo Expressway, Allisonchester, IL 71187",001-534-565-7871x33150,2015-08-25,Low,Barrister's clerk,87356
CUST_0006,Taylor Heath,1949-01-18,4899,"82997 Kristen Valley Suite 311, Gomezchester, NH 96062",9104651333,2019-05-19,Low,Health promotion specialist,47484
CUST_0007,Shannon Jones,1995-06-28,2604,"32677 Michelle Circle, South Aaron, MS 35261",246.787.2343x098,2016-02-05,Low,Television/film/video producer,50732
CUST_0008,Thomas Schmidt,1948-03-02,9320,"91361 Beth Canyon, South Dianeshire, NC 41968",935-334-6247x510,2016-03-29,Low,"Engineer, production",34412
CUST_0009,Brandi Bailey,1948-12-01,5002,"8498 Elizabeth Plaza, Sarahville, FM 18102",911-682-4493x534,2023-09-24,Medium,Arts development officer,89675
CUST_0010,Jeff Hill,1944-10-22,3143,"78680 Charles Spurs Apt. 805, South David, ME 48296",4535315869,2023-05-13,Low,"Editor, film/video",74552
CUST_0011,Allison Doyle,1965-07-06,7745,"2160 Walker Viaduct, Baileybury, IN 03602",+1-636-454-1458x68501,2020-10-22,Low,Geochemist,39264
CUST_0012,Kyle Reed,1994-02-16,8149,"9340 Smith Valley, West Ryan, TN 43780",+1-551-848-4656x482,2021-07-26,Low,Museum education officer,51104
CUST_0013,Stephanie Gilbert,1963-07-18,9977,"3699 Marshall Mills Apt. 872, West Zacharymouth, CO 98954",343.932.0037,2019-04-25,Low,Teaching laboratory technician,30294
